result,table,_time,moisture
mean,0,2024-08-28 12:00:00+00:00,2404
mean,0,2024-08-28 18:00:00+00:00,2403
mean,0,2024-08-29 00:00:00+00:00,2431
mean,0,2024-08-29 06:00:00+00:00,2421
mean,0,2024-08-29 12:00:00+00:00,2496
mean,0,2024-08-29 18:00:00+00:00,2465
mean,0,2024-08-30 00:00:00+00:00,2496
mean,0,2024-08-30 06:00:00+00:00,2513
mean,0,2024-08-30 12:00:00+00:00,2535
mean,0,2024-08-30 18:00:00+00:00,2554
mean,0,2024-08-31 00:00:00+00:00,2559
mean,0,2024-08-31 06:00:00+00:00,2593
mean,0,2024-08-31 12:00:00+00:00,2605
mean,0,2024-08-31 12:03:40.642226+00:00,2605
